date,New York_1,San Francisco_1,Austin_1,New York_2,San Francisco_2,Austin_2
20120510,61,53,71,16,12,22
20120511,59,53,69,15,12,21
20120512,64,49,72,18,9,22
20120513,65,52,72,18,11,22
20120514,64,56,72,18,13,22
20120515,62,53,67,17,12,19
20120516,63,51,69,17,11,21
20120517,64,51,72,18,11,22
20120518,61,52,73,16,11,23
20120519,62,52,77,17,11,25
20120520,66,54,75,19,12,24
20120521,62,52,76,17,11,24
20120522,63,53,78,17,12,26
20120523,66,56,77,19,13,25
20120524,64,54,80,18,12,27
20120525,65,52,81,18,11,27
20120526,69,52,82,21,11,28
20120527,71,52,80,22,11,27
20120528,74,52,80,23,11,27
20120529,75,52,82,24,11,28
20120530,72,52,81,22,11,27
20120531,72,53,82,22,12,28
20120601,67,54,77,19,12,25
20120602,68,54,81,20,12,27
20120603,67,52,82,19,11,28
20120604,61,55,81,16,13,27
20120605,58,53,83,14,12,28
20120606,61,54,83,16,12,28
20120607,66,53,82,19,12,28
20120608,68,54,77,20,12,25
20120609,72,55,77,22,13,25
20120610,72,60,82,22,16,28
20120611,69,57,86,21,14,30
20120612,66,55,85,19,13,29
20120613,66,53,76,19,12,24
20120614,67,53,84,19,12,29
20120615,68,54,84,20,12,29
20120616,67,57,83,19,14,28
20120617,64,55,82,18,13,28
20120618,61,52,82,16,11,28
20120619,66,53,82,19,12,28
20120620,77,55,81,25,13,27
20120621,88,53,80,31,12,27
20120622,82,54,81,28,12,27
20120623,77,55,83,25,13,28
20120624,75,55,85,24,13,29
20120625,70,56,87,21,13,31
20120626,65,57,88,18,14,31
20120627,73,57,89,23,14,32
20120628,77,56,86,25,13,30
20120629,79,56,85,26,13,29
20120630,84,58,81,29,14,27
20120701,81,58,78,27,14,26
20120702,82,56,83,28,13,28
20120703,80,56,83,27,13,28
20120704,77,55,84,25,13,29
20120705,86,54,84,30,12,29
20120706,79,54,84,26,12,29
20120707,83,54,86,28,12,30
20120708,81,52,84,27,11,29
20120709,77,53,83,25,12,28
20120710,76,53,77,24,12,25
20120711,76,52,77,24,11,25
20120712,75,52,80,24,11,27
20120713,77,53,81,25,12,27
20120714,79,54,80,26,12,27
20120715,78,54,81,26,12,27
20120716,79,54,77,26,12,25
20120717,83,56,80,28,13,27
20120718,84,57,81,29,14,27
20120719,75,57,80,24,14,27
20120720,68,58,83,20,14,28
20120721,68,57,85,20,14,29
20120722,72,56,83,22,13,28
20120723,75,56,84,24,13,29
20120724,82,57,83,28,14,28
20120725,78,57,84,26,14,29
20120726,77,56,84,25,13,29
20120727,79,55,84,26,13,29
20120728,77,55,83,25,13,28
20120729,72,55,85,22,13,29
20120730,72,55,84,22,13,29
20120731,73,55,86,23,13,30
20120801,75,55,86,24,13,30
20120802,77,54,85,25,12,29
20120803,79,53,85,26,12,29
20120804,79,54,86,26,12,30
20120805,81,57,84,27,14,29
20120806,80,58,81,27,14,27
20120807,75,58,86,24,14,30
20120808,77,57,86,25,14,30
20120809,78,55,86,26,13,30
20120810,77,54,88,25,12,31
20120811,78,53,85,26,12,29
20120812,78,52,87,26,11,31
20120813,78,53,88,26,12,31
20120814,76,53,88,24,12,31
20120815,76,56,87,24,13,31
20120816,75,57,86,24,14,30
20120817,77,55,86,25,13,30
20120818,72,56,84,22,13,29
20120819,70,54,76,21,12,24
20120820,71,53,80,22,12,27
20120821,73,53,80,23,12,27
20120822,74,54,78,23,12,26
20120823,74,55,79,23,13,26
20120824,76,54,81,24,12,27
20120825,76,53,84,24,12,29
20120826,73,56,83,23,13,28
20120827,74,58,82,23,14,28
20120828,79,58,84,26,14,29
20120829,74,57,85,23,14,29
20120830,73,55,87,23,13,31
20120831,77,55,82,25,13,28
20120901,80,55,84,27,13,29
20120902,75,53,83,24,12,28
20120903,73,53,85,23,12,29
20120904,73,52,86,23,11,30
20120905,77,54,85,25,12,29
20120906,74,56,85,23,13,29
20120907,76,56,85,24,13,29
20120908,77,56,81,25,13,27
20120909,69,56,74,21,13,23
20120910,67,55,71,19,13,22
20120911,64,56,75,18,13,24
20120912,68,55,82,20,13,28
20120913,69,54,80,21,12,27
20120914,70,55,70,21,13,21
20120915,69,54,71,21,12,22
20120916,66,52,70,19,11,21
20120917,67,54,72,19,12,22
20120918,72,54,73,22,12,23
20120919,67,56,72,19,13,22
20120920,62,55,71,17,13,22
20120921,64,55,72,18,13,22
20120922,65,55,73,18,13,23
20120923,65,52,75,18,11,24
20120924,60,54,78,16,12,26
20120925,63,53,78,17,12,26
20120926,68,53,79,20,12,26
20120927,69,52,76,21,11,24
20120928,68,52,77,20,11,25
20120929,62,53,75,17,12,24
20120930,62,55,71,17,13,22
